region,locationID,companyID,companyNAME,year2018
Запорізька,230060,00110728,"ЗАТ ""ЗАПОРIЖКРАН"" М. ЗАПОРIЖЖЯ",0.059
Донецька,142058,00131245,"ПАТ ""ЦЕНТРЕНЕРГО"" ВУГЛЕГIРСЬКА,СМТ.СВIТЛОДАРСЬКЕ",0.004
Івано-Франківська,260049,00136490,"ПАТ  ""УКРНАФТА""  НГВУ  ""ДОЛИНАНАФТОГАЗ"" М.ДОЛИНА",0.003
Львівська,460249,00152402,"ДП ""ДАШАВСЬКИЙ ЗАВОД КОМПОЗИЦIЙНИХ МАТЕРIАЛIВ""",0.021
Львівська,460508,00153100,"ХIДНОВИЦЬКИЙ ЦВ НГГК ФIЛIЇ ""ГПУ ""ПОЛТАВАГАЗВИДОБ."" ПАТ ""УКРГ",0.002
Львівська,460616,00153100,"ХIДНОВИЦЬКИЙ ЦВНГК  ГПУ ""ЛЬВIВГАЗВИДОБУВАННЯ"" ПАТ ""УКРГАЗВИД",0.013
Донецька,142089,00176495,"ДВАТ ЦЗФ ""ДЗЕРЖИНСЬКА"",М. ТОРЕЦЬК",0.012
Запорізька,230565,00184939,"ТДВ ""АВТОПАРК"", М. ЗАПОРIЖЖЯ",0.001
Львівська,460760,00185347,"КП ""ЧЕРВОНОГРАДВОДОКАНАЛ""",0.718
Дніпропетровська,120160,00190905,"ПАТ ""IНГУЛЕЦЬКИЙ ГЗК"", М. КРИВИЙ РIГ",0.108
Дніпропетровська,120161,00190977,"ПРАТ ""ЦЕНТРАЛЬНИЙ ГЗК"", М. КРИВИЙ РIГ",0.963
Донецька,142105,00191052,"ПАТ ""ДРУЖКIВСЬКИЙ ЗАВОД МЕТАЛЕВИХ ВИРОБIВ"" М. ДРУЖКIВКА",0.35
Донецька,140314,00191075,"ВАТ ""АВДIЇВСЬКИЙ КХЗ"" М. АВДIЇВКА",0.096
Донецька,140327,00191158,"ПрАТ ""МЕТКОМБIНАТ ""АЗОВСТАЛЬ"",М.МАРIУПОЛЬ",139.8
Запорізька,230083,00191230,"ПАТ ""ЗАПОРIЖСТАЛЬ"" М. ЗАПОРIЖЖЯ",53.87
Дніпропетровська,120649,00191307,"ПАТ ""КРИВОРIЗЬКИЙ ЗАЛIЗОРУДНИЙ КОМБIНАТ"", М. КРИВИЙ РIГ",2.271
Дніпропетровська,120146,00191329,"ПРАТ ""СУХА БАЛКА"", М. КРИВИЙ РIГ",1.412
Донецька,142803,00191672,"ГОРЛIВСЬКЕ ВУВКГ КП ""ВОДА ДОНБАСУ""",5.774
Запорізька,230030,00235814,"ПАТ ""ГIДРОСИЛА МЗТГ"" М.МЕЛIТОПОЛЬ",0.006
Львівська,461172,00291109,"ПРАТ ""ДРОГОБИЦЬКЕ ЗАВОДОУПРАВЛIННЯ БУДIВЕЛЬНИХ МАТЕРIАЛВ""",0.002
Львівська,460518,00291144,"ТЗОВ ""РОЗВАДIВ БУДМАТЕРIАЛИ""",0.033
Львівська,460135,00293025,"ПАТ ""МИКОЛАЇВЦЕМЕНТ""",0.249
Донецька,142863,00293060,"ФIЛIЯ ПАТ ""ЄВРОЦЕМЕНТ-УКРАЇНА""- КРАМАТОРСЬКИЙ ЗАВОД - ""ПУШКА",0.004
Київська,320084,00307879,"КП ""ВАСИЛЬКIВСЬКА ШКIРФIРМА"" м.ВАСИЛЬКIВ",1.071
Харківська,630201,00373250,"ПРАТ  ""ПЕРВУХIНСЬКИЙ ЦУКРОЗАВОД"" БОГОДУХIВСЬКИЙ Р-Н",0.26
Харківська,630215,00383231,"ПрАТ "" ФIЛIП МОРРIС УКРАЇНА"" М.ХАРКIВ",0.024
Луганська,90406,00418030,"ТДВ  ""ЛИСИЧАНСЬКИЙ ЖЕЛАТИНОВИЙ ЗАВОД""",0.566
Закарпатська,210526,00432283,"М.ХУСТ, ВУЖКГ",0.216
Львівська,460126,00493735,ЛЬВIВСЬКИЙ НАЦIОНАЛЬНИЙ АГРАРНИЙ УНIВЕРСИТЕТ,0.167
